Accession;Peptides;Score;Anova (p)*;Fold;Fractions;Description;A14D;A14R
ANXA6_HUMAN;11 (11);490.96;0.25;1.39;123;Annexin A6 OS=Homo sapiens GN=ANXA6 PE=1 SV=3;1.01e+004;7222.00
MAOX_HUMAN;2 (2);60.00;0.24;5.30;123;NADP-dependent malic enzyme OS=Homo sapiens GN=ME1 PE=1 SV=1;2004.13;1.06e+004
COPA_HUMAN;2 (2);89.31;0.24;4.74;123;Coatomer subunit alpha OS=Homo sapiens GN=COPA PE=1 SV=2;590.46;2798.37
FRRS1_HUMAN;1 (1);36.93;0.24;4.65;123;Ferric-chelate reductase 1 OS=Homo sapiens GN=FRRS1 PE=2 SV=2;929.48;4318.04
HEBP1_HUMAN;1 (1);56.35;0.24;3.77;123;Heme-binding protein 1 OS=Homo sapiens GN=HEBP1 PE=1 SV=1;5988.76;2.26e+004
RD23A_HUMAN;3 (3);108.16;0.24;3.31;123;UV excision repair protein RAD23 homolog A OS=Homo sapiens GN=RAD23A PE=1 SV=1;3050.57;1.01e+004
SRRM2_HUMAN;2 (2);47.63;0.24;3.07;123;Serine/arginine repetitive matrix protein 2 OS=Homo sapiens GN=SRRM2 PE=1 SV=2;3.05e+005;9.36e+005
RB15B_HUMAN;1 (1);25.50;0.24;2.94;123;Putative RNA-binding protein 15B OS=Homo sapiens GN=RBM15B PE=1 SV=3;5.04e+004;1.48e+005
PGAM1_HUMAN;10 (10);516.84;0.24;2.64;123;Phosphoglycerate mutase 1 OS=Homo sapiens GN=PGAM1 PE=1 SV=2;1.09e+005;2.88e+005
NDUS4_HUMAN;1 (1);37.04;0.24;2.33;123;NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial OS=Homo sapiens GN=NDUFS4 PE=1 SV=1;741.46;1729.71
GXLT1_HUMAN;1 (1);24.85;0.24;10.32;123;Glucoside xylosyltransferase 1 OS=Homo sapiens GN=GXYLT1 PE=1 SV=2;38.01;392.36
PTPS_HUMAN;1 (1);30.48;0.24;1.96;123;6-pyruvoyl tetrahydrobiopterin synthase OS=Homo sapiens GN=PTS PE=1 SV=1;679.38;1334.25
HNRPU_HUMAN;1 (1);20.20;0.24;1.74;123;Heterogeneous nuclear ribonucleoprotein U OS=Homo sapiens GN=HNRNPU PE=1 SV=6;1392.71;799.25
IL27A_HUMAN;1 (1);19.90;0.24;1.71;123;Interleukin-27 subunit alpha OS=Homo sapiens GN=IL27 PE=1 SV=2;5605.75;9597.01
UB2D3_HUMAN;1 (1);43.91;0.24;1.33;123;Ubiquitin-conjugating enzyme E2 D3 OS=Homo sapiens GN=UBE2D3 PE=1 SV=1;5.68e+004;4.28e+004
LMNB2_HUMAN;8 (7);329.13;0.24;1.25;123;Lamin-B2 OS=Homo sapiens GN=LMNB2 PE=1 SV=3;6710.08;8397.07
AIMP1_HUMAN;2 (2);35.07;0.23;5.61;123;Aminoacyl tRNA synthase complex-interacting multifunctional protein 1 OS=Homo sapiens GN=AIMP1 PE=1 SV=2;885.89;4972.87
UBP13_HUMAN;2 (2);37.50;0.23;4.38;123;Ubiquitin carboxyl-terminal hydrolase 13 OS=Homo sapiens GN=USP13 PE=1 SV=2;2.74e+004;1.20e+005
TRML4_HUMAN;1 (1);15.18;0.23;3.96;123;Trem-like transcript 4 protein OS=Homo sapiens GN=TREML4 PE=2 SV=1;1.27e+005;3.22e+004
TIAR_HUMAN;1 (1);34.34;0.23;3.41;123;Nucleolysin TIAR OS=Homo sapiens GN=TIAL1 PE=1 SV=1;1564.25;5331.29
BAF_HUMAN;1 (1);47.80;0.23;3.34;123;Barrier-to-autointegration factor OS=Homo sapiens GN=BANF1 PE=1 SV=1;281.43;940.85
E41L1_HUMAN;1 (1);18.99;0.23;3.10;123;Band 4.1-like protein 1 OS=Homo sapiens GN=EPB41L1 PE=1 SV=2;1.57e+004;5077.99
AGM1_HUMAN;2 (2);51.51;0.23;3.00;123;Phosphoacetylglucosamine mutase OS=Homo sapiens GN=PGM3 PE=1 SV=1;491.40;1474.92
ECM1_HUMAN;13 (13);511.86;0.23;2.70;123;Extracellular matrix protein 1 OS=Homo sapiens GN=ECM1 PE=1 SV=2;3.17e+004;8.59e+004
SHE_HUMAN;1 (1);17.87;0.23;2.70;123;SH2 domain-containing adapter protein E OS=Homo sapiens GN=SHE PE=1 SV=1;2.24e+004;6.03e+004
SND1_HUMAN;3 (3);103.14;0.23;2.54;123;Staphylococcal nuclease domain-containing protein 1 OS=Homo sapiens GN=SND1 PE=1 SV=1;873.31;2218.62
VCY1_HUMAN;1 (1);28.30;0.23;2.54;123;Testis-specific basic protein Y 1 OS=Homo sapiens GN=VCY PE=2 SV=1;2.15e+004;5.46e+004
GSHR_HUMAN;7 (7);260.22;0.23;2.39;123;Glutathione reductase, mitochondrial OS=Homo sapiens GN=GSR PE=1 SV=2;6416.15;1.53e+004
ZN841_HUMAN;1 (1);28.93;0.23;2.39;123;Zinc finger protein 841 OS=Homo sapiens GN=ZNF841 PE=2 SV=1;2.03e+005;4.84e+005
ERP44_HUMAN;4 (4);186.85;0.23;2.37;123;Endoplasmic reticulum resident protein 44 OS=Homo sapiens GN=ERP44 PE=1 SV=1;3702.06;8757.69
AACT_HUMAN;6 (6);349.35;0.23;2.21;123;Alpha-1-antichymotrypsin OS=Homo sapiens GN=SERPINA3 PE=1 SV=2;6809.28;1.51e+004
CD81_HUMAN;1 (1);97.92;0.23;2.20;123;CD81 antigen OS=Homo sapiens GN=CD81 PE=1 SV=1;1.14e+004;2.50e+004
FLNA_HUMAN;95 (89);6333.47;0.23;2.02;123;Filamin-A OS=Homo sapiens GN=FLNA PE=1 SV=4;1.76e+005;3.56e+005
RS2_HUMAN;1 (1);23.17;0.23;19.28;123;40S ribosomal protein S2 OS=Homo sapiens GN=RPS2 PE=1 SV=2;96.26;1856.04
PKHG5_HUMAN;1 (1);18.15;0.23;10.38;123;Pleckstrin homology domain-containing family G member 5 OS=Homo sapiens GN=PLEKHG5 PE=1 SV=3;8.56e+004;8251.97
PPR26_HUMAN;1 (1);18.85;0.23;1.98;123;Protein phosphatase 1 regulatory subunit 26 OS=Homo sapiens GN=PPP1R26 PE=1 SV=1;6566.44;1.30e+004
RHG01_HUMAN;8 (8);291.43;0.23;1.84;123;Rho GTPase-activating protein 1 OS=Homo sapiens GN=ARHGAP1 PE=1 SV=1;5883.08;1.08e+004
MIME_HUMAN;1 (1);29.80;0.23;1.83;123;Mimecan OS=Homo sapiens GN=OGN PE=1 SV=1;1252.65;2296.72
TGM3_HUMAN;1 (1);24.15;0.23;1.78;123;Protein-glutamine gamma-glutamyltransferase E OS=Homo sapiens GN=TGM3 PE=1 SV=4;370.63;660.48
UB2D1_HUMAN;1 (1);27.79;0.23;1.39;123;Ubiquitin-conjugating enzyme E2 D1 OS=Homo sapiens GN=UBE2D1 PE=1 SV=1;1.01e+004;7247.77
FKBP3_HUMAN;3 (3);145.83;0.22;5.53;123;Peptidyl-prolyl cis-trans isomerase FKBP3 OS=Homo sapiens GN=FKBP3 PE=1 SV=1;3079.03;1.70e+004
ZN445_HUMAN;2 (2);40.51;0.22;5.25;123;Zinc finger protein 445 OS=Homo sapiens GN=ZNF445 PE=2 SV=1;6775.76;1289.57
SRCAP_HUMAN;2 (2);35.89;0.22;4.52;123;Helicase SRCAP OS=Homo sapiens GN=SRCAP PE=1 SV=3;3.76e+004;1.70e+005
FGF7_HUMAN;6 (6);189.91;0.22;3.63;123;Fibroblast growth factor 7 OS=Homo sapiens GN=FGF7 PE=1 SV=1;3128.69;1.14e+004
DOC11_HUMAN;1 (1);19.23;0.22;3.46;123;Dedicator of cytokinesis protein 11 OS=Homo sapiens GN=DOCK11 PE=1 SV=2;1.09e+004;3.78e+004
ANT3_HUMAN;2 (2);88.31;0.22;2.61;123;Antithrombin-III OS=Homo sapiens GN=SERPINC1 PE=1 SV=1;8.69e+004;3.33e+004
FUMH_HUMAN;5 (5);280.66;0.22;2.40;123;Fumarate hydratase, mitochondrial OS=Homo sapiens GN=FH PE=1 SV=3;3961.38;9520.12
PBDC1_HUMAN;1 (1);21.96;0.22;19.26;123;Protein PBDC1 OS=Homo sapiens GN=PBDC1 PE=1 SV=1;89.67;1727.11
PGK1_HUMAN;15 (11);960.42;0.22;1.92;123;Phosphoglycerate kinase 1 OS=Homo sapiens GN=PGK1 PE=1 SV=3;5.35e+004;1.03e+005
PSB2_HUMAN;8 (8);287.12;0.22;1.77;123;Proteasome subunit beta type-2 OS=Homo sapiens GN=PSMB2 PE=1 SV=1;2.04e+004;3.60e+004
ESYT1_HUMAN;2 (2);128.44;0.22;1.69;123;Extended synaptotagmin-1 OS=Homo sapiens GN=ESYT1 PE=1 SV=1;3692.87;6240.40
FERM2_HUMAN;5 (5);143.17;0.22;1.66;123;Fermitin family homolog 2 OS=Homo sapiens GN=FERMT2 PE=1 SV=1;3688.97;6122.10
HNRPK_HUMAN;10 (10);467.85;0.22;1.64;123;Heterogeneous nuclear ribonucleoprotein K OS=Homo sapiens GN=HNRNPK PE=1 SV=1;1.83e+004;3.00e+004
MRP6_HUMAN;1 (1);20.13;0.22;1.52;123;Multidrug resistance-associated protein 6 OS=Homo sapiens GN=ABCC6 PE=1 SV=2;7976.95;1.21e+004
MUC16_HUMAN;5 (5);104.46;0.22;1.49;123;Mucin-16 OS=Homo sapiens GN=MUC16 PE=1 SV=2;2.46e+004;3.66e+004
LTOR3_HUMAN;2 (2);66.49;0.22;1.39;123;Ragulator complex protein LAMTOR3 OS=Homo sapiens GN=LAMTOR3 PE=1 SV=1;1.26e+004;9048.33
UB2V2_HUMAN;7 (4);255.61;0.22;1.36;123;Ubiquitin-conjugating enzyme E2 variant 2 OS=Homo sapiens GN=UBE2V2 PE=1 SV=4;2.05e+004;1.51e+004
HES1_HUMAN;1 (1);39.73;0.21;8.28;123;Transcription factor HES-1 OS=Homo sapiens GN=HES1 PE=1 SV=1;8.29e+004;1.00e+004
DPCD_HUMAN;1 (1);54.27;0.21;7.12;123;Protein DPCD OS=Homo sapiens GN=DPCD PE=1 SV=2;1608.56;1.14e+004
CYHR1_HUMAN;1 (1);20.35;0.21;7.11;123;Cysteine and histidine-rich protein 1 OS=Homo sapiens GN=CYHR1 PE=2 SV=2;3757.09;528.31
CSTN1_HUMAN;12 (12);542.46;0.21;6.99;123;Calsyntenin-1 OS=Homo sapiens GN=CLSTN1 PE=1 SV=1;4.74e+005;6.77e+004
PSDE_HUMAN;1 (1);29.81;0.21;5.65;123;26S proteasome non-ATPase regulatory subunit 14 OS=Homo sapiens GN=PSMD14 PE=1 SV=1;460.40;2601.29
PPR18_HUMAN;1 (1);22.51;0.21;5.32;123;Phostensin OS=Homo sapiens GN=PPP1R18 PE=1 SV=1;155.12;825.10
VPS28_HUMAN;1 (1);29.97;0.21;4.49;123;Vacuolar protein sorting-associated protein 28 homolog OS=Homo sapiens GN=VPS28 PE=1 SV=1;1079.31;4845.66
CO4A1_HUMAN;10 (10);461.52;0.21;3.54;123;Collagen alpha-1(IV) chain OS=Homo sapiens GN=COL4A1 PE=1 SV=3;1.09e+005;3.85e+005
MYL6_HUMAN;7 (7);350.49;0.21;3.29;123;Myosin light polypeptide 6 OS=Homo sapiens GN=MYL6 PE=1 SV=2;2.01e+005;6.12e+004
CAZA2_HUMAN;4 (3);135.39;0.21;2.99;123;F-actin-capping protein subunit alpha-2 OS=Homo sapiens GN=CAPZA2 PE=1 SV=3;1894.00;5669.16
PFD2_HUMAN;2 (2);115.76;0.21;2.87;123;Prefoldin subunit 2 OS=Homo sapiens GN=PFDN2 PE=1 SV=1;1635.21;4697.17
VRTN_HUMAN;1 (1);36.68;0.21;2.85;123;Vertnin OS=Homo sapiens GN=VRTN PE=1 SV=1;1799.97;631.47
BIRC1_HUMAN;1 (1);21.65;0.21;2.71;123;Baculoviral IAP repeat-containing protein 1 OS=Homo sapiens GN=NAIP PE=1 SV=3;3.89e+004;1.05e+005
TKT_HUMAN;13 (13);642.48;0.21;2.61;123;Transketolase OS=Homo sapiens GN=TKT PE=1 SV=3;2.33e+004;6.09e+004
VASN_HUMAN;7 (7);545.67;0.21;2.20;123;Vasorin OS=Homo sapiens GN=VASN PE=1 SV=1;6.84e+004;1.50e+005
TLN2_HUMAN;8 (3);318.99;0.21;1.80;123;Talin-2 OS=Homo sapiens GN=TLN2 PE=1 SV=4;3669.95;2033.29
SFRP1_HUMAN;3 (3);101.77;0.21;1.73;123;Secreted frizzled-related protein 1 OS=Homo sapiens GN=SFRP1 PE=1 SV=1;8241.99;4768.66
FLNC_HUMAN;15 (9);679.53;0.21;1.55;123;Filamin-C OS=Homo sapiens GN=FLNC PE=1 SV=3;2872.60;4446.90
ARF6_HUMAN;1 (1);50.32;0.21;1.53;123;ADP-ribosylation factor 6 OS=Homo sapiens GN=ARF6 PE=1 SV=2;2509.86;1643.22
MA2B2_HUMAN;2 (2);52.95;0.21;1.46;123;Epididymis-specific alpha-mannosidase OS=Homo sapiens GN=MAN2B2 PE=1 SV=4;1279.80;1864.15
CYTB_HUMAN;6 (6);315.34;0.21;1.43;123;Cystatin-B OS=Homo sapiens GN=CSTB PE=1 SV=2;1.30e+005;9.12e+004
SEP11_HUMAN;7 (7);314.88;0.21;1.40;123;Septin-11 OS=Homo sapiens GN=SEPT11 PE=1 SV=3;1.41e+004;1.98e+004
LG3BP_HUMAN;11 (11);881.61;0.21;1.35;123;Galectin-3-binding protein OS=Homo sapiens GN=LGALS3BP PE=1 SV=1;1.29e+005;1.75e+005
PPAC_HUMAN;2 (2);80.96;0.21;1.23;123;Low molecular weight phosphotyrosine protein phosphatase OS=Homo sapiens GN=ACP1 PE=1 SV=3;1.33e+004;1.08e+004
FUT11_HUMAN;1 (1);37.52;0.20;4.46;123;Alpha-(1,3)-fucosyltransferase 11 OS=Homo sapiens GN=FUT11 PE=1 SV=1;1276.12;5686.04
ACLY_HUMAN;2 (2);106.27;0.20;4.14;123;ATP-citrate synthase OS=Homo sapiens GN=ACLY PE=1 SV=3;449.78;1860.24
OSMR_HUMAN;1 (1);31.75;0.20;3.98;123;Oncostatin-M-specific receptor subunit beta OS=Homo sapiens GN=OSMR PE=1 SV=1;436.27;1734.32
STX7_HUMAN;2 (2);126.92;0.20;3.89;123;Syntaxin-7 OS=Homo sapiens GN=STX7 PE=1 SV=4;1986.38;7725.29
RS20_HUMAN;4 (4);137.88;0.20;3.45;123;40S ribosomal protein S20 OS=Homo sapiens GN=RPS20 PE=1 SV=1;2.76e+004;7999.57
ELN_HUMAN;5 (5);252.35;0.20;3.23;123;Elastin OS=Homo sapiens GN=ELN PE=1 SV=3;1.73e+004;5.60e+004
METRL_HUMAN;4 (4);208.83;0.20;3.06;123;Meteorin-like protein OS=Homo sapiens GN=METRNL PE=2 SV=1;9418.00;2.88e+004
IQCB1_HUMAN;2 (2);35.31;0.20;3.06;123;IQ calmodulin-binding motif-containing protein 1 OS=Homo sapiens GN=IQCB1 PE=1 SV=1;3195.76;9768.12
FRIL_HUMAN;1 (1);34.38;0.20;2.77;123;Ferritin light chain OS=Homo sapiens GN=FTL PE=1 SV=2;1411.00;3912.20
TAF9B_HUMAN;1 (1);26.25;0.20;2.27;123;Transcription initiation factor TFIID subunit 9B OS=Homo sapiens GN=TAF9B PE=1 SV=1;1.41e+004;3.20e+004
COX5B_HUMAN;1 (1);18.56;0.20;2.16;123;Cytochrome c oxidase subunit 5B, mitochondrial OS=Homo sapiens GN=COX5B PE=1 SV=2;1.91e+004;8832.07
TCPZ_HUMAN;3 (3);86.91;0.20;2.11;123;T-complex protein 1 subunit zeta OS=Homo sapiens GN=CCT6A PE=1 SV=3;807.85;1707.10
PIMT_HUMAN;4 (4);194.39;0.20;1.99;123;Protein-L-isoaspartate(D-aspartate) O-methyltransferase OS=Homo sapiens GN=PCMT1 PE=1 SV=4;1.00e+004;2.00e+004
LOXL3_HUMAN;2 (2);64.69;0.20;1.91;123;Lysyl oxidase homolog 3 OS=Homo sapiens GN=LOXL3 PE=2 SV=1;3127.17;5963.57
FSTL1_HUMAN;12 (12);748.55;0.20;1.78;123;Follistatin-related protein 1 OS=Homo sapiens GN=FSTL1 PE=1 SV=1;2.28e+005;4.05e+005
PLXB2_HUMAN;5 (5);192.14;0.20;1.67;123;Plexin-B2 OS=Homo sapiens GN=PLXNB2 PE=1 SV=3;4463.47;7439.88
CE152_HUMAN;1 (1);25.69;0.20;1.52;123;Centrosomal protein of 152 kDa OS=Homo sapiens GN=CEP152 PE=1 SV=4;1.37e+004;8983.26
LMAN2_HUMAN;4 (4);157.78;0.20;1.49;123;Vesicular integral-membrane protein VIP36 OS=Homo sapiens GN=LMAN2 PE=1 SV=1;7458.11;1.11e+004
CCD58_HUMAN;1 (1);28.85;0.20;1.32;123;Coiled-coil domain-containing protein 58 OS=Homo sapiens GN=CCDC58 PE=1 SV=1;4405.35;3329.96
SNX3_HUMAN;6 (4);199.26;0.20;1.21;123;Sorting nexin-3 OS=Homo sapiens GN=SNX3 PE=1 SV=3;5323.74;6430.16
PXDNL_HUMAN;1 (1);24.18;0.19;9.12;123;Peroxidasin-like protein OS=Homo sapiens GN=PXDNL PE=1 SV=3;1723.85;188.97
MGP_HUMAN;2 (2);125.03;0.19;6.25;123;Matrix Gla protein OS=Homo sapiens GN=MGP PE=1 SV=2;6.44e+004;1.03e+004
TMM44_HUMAN;1 (1);16.26;0.19;5.94;123;Transmembrane protein 44 OS=Homo sapiens GN=TMEM44 PE=2 SV=3;2450.66;1.46e+004
H1BP3_HUMAN;1 (1);38.55;0.19;5.42;123;HCLS1-binding protein 3 OS=Homo sapiens GN=HS1BP3 PE=1 SV=1;1446.60;7840.25
CLPX_HUMAN;2 (2);42.62;0.19;5.05;123;ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial OS=Homo sapiens GN=CLPX PE=1 SV=2;1.32e+005;6.68e+005
PFD5_HUMAN;1 (1);19.91;0.19;45.01;123;Prefoldin subunit 5 OS=Homo sapiens GN=PFDN5 PE=1 SV=2;152.25;6853.00
CNPY4_HUMAN;2 (2);54.29;0.19;4.67;123;Protein canopy homolog 4 OS=Homo sapiens GN=CNPY4 PE=2 SV=1;323.43;1510.27
COPZ1_HUMAN;2 (2);71.14;0.19;4.42;123;Coatomer subunit zeta-1 OS=Homo sapiens GN=COPZ1 PE=1 SV=1;1556.20;6875.31
AGAL_HUMAN;1 (1);29.42;0.19;2.93;123;Alpha-galactosidase A OS=Homo sapiens GN=GLA PE=1 SV=1;487.45;1430.58
1433F_HUMAN;10 (4);477.98;0.19;2.86;123;14-3-3 protein eta OS=Homo sapiens GN=YWHAH PE=1 SV=4;5874.94;1.68e+004
PA2G4_HUMAN;1 (1);20.49;0.19;2.82;123;Proliferation-associated protein 2G4 OS=Homo sapiens GN=PA2G4 PE=1 SV=3;1334.02;3761.65
TNPO1_HUMAN;1 (1);51.92;0.19;2.66;123;Transportin-1 OS=Homo sapiens GN=TNPO1 PE=1 SV=2;288.32;766.05
SDF1_HUMAN;2 (2);100.98;0.19;2.37;123;Stromal cell-derived factor 1 OS=Homo sapiens GN=CXCL12 PE=1 SV=1;1.85e+004;7792.40
ENOG_HUMAN;7 (2);489.87;0.19;2.18;123;Gamma-enolase OS=Homo sapiens GN=ENO2 PE=1 SV=3;3810.72;8288.95
AK1C1_HUMAN;10 (4);384.59;0.19;2.11;123;Aldo-keto reductase family 1 member C1 OS=Homo sapiens GN=AKR1C1 PE=1 SV=1;1.40e+004;2.97e+004
PTGDS_HUMAN;4 (4);445.01;0.19;2.08;123;Prostaglandin-H2 D-isomerase OS=Homo sapiens GN=PTGDS PE=1 SV=1;2.95e+005;1.42e+005
FKB1A_HUMAN;5 (5);317.66;0.19;2.03;123;Peptidyl-prolyl cis-trans isomerase FKBP1A OS=Homo sapiens GN=FKBP1A PE=1 SV=2;1.05e+005;5.20e+004
EF2_HUMAN;14 (14);663.40;0.19;2.01;123;Elongation factor 2 OS=Homo sapiens GN=EEF2 PE=1 SV=4;1.08e+004;2.17e+004
SPT6H_HUMAN;2 (1);45.65;0.19;10.83;123;Transcription elongation factor SPT6 OS=Homo sapiens GN=SUPT6H PE=1 SV=2;6.35e+005;5.87e+004
RS19_HUMAN;2 (2);74.36;0.19;1.87;123;40S ribosomal protein S19 OS=Homo sapiens GN=RPS19 PE=1 SV=2;6592.03;3528.95
C2CD3_HUMAN;2 (2);44.53;0.19;1.69;123;C2 domain-containing protein 3 OS=Homo sapiens GN=C2CD3 PE=1 SV=4;3.11e+004;5.26e+004
TNNI1_HUMAN;1 (1);21.97;0.19;1.68;123;Troponin I, slow skeletal muscle OS=Homo sapiens GN=TNNI1 PE=1 SV=3;2.24e+004;3.76e+004
TRPA1_HUMAN;1 (1);16.84;0.19;1.67;123;Transient receptor potential cation channel subfamily A member 1 OS=Homo sapiens GN=TRPA1 PE=1 SV=3;5315.84;8882.38
CC113_HUMAN;1 (1);23.60;0.19;1.59;123;Coiled-coil domain-containing protein 113 OS=Homo sapiens GN=CCDC113 PE=2 SV=1;8309.38;1.32e+004
CRLF1_HUMAN;7 (7);312.05;0.19;1.52;123;Cytokine receptor-like factor 1 OS=Homo sapiens GN=CRLF1 PE=1 SV=1;8449.58;1.29e+004
EMIL1_HUMAN;17 (17);1402.37;0.19;1.25;123;EMILIN-1 OS=Homo sapiens GN=EMILIN1 PE=1 SV=2;1.09e+005;1.36e+005
IPIL1_HUMAN;1 (1);15.57;0.18;7.44;123;Inositol 1,4,5-trisphosphate receptor-interacting protein-like 1 OS=Homo sapiens GN=ITPRIPL1 PE=2 SV=1;3.59e+004;4821.59
SHBG_HUMAN;1 (1);29.55;0.18;4.27;123;Sex hormone-binding globulin OS=Homo sapiens GN=SHBG PE=1 SV=2;4253.43;996.91
GT251_HUMAN;1 (1);28.76;0.18;34.59;123;Procollagen galactosyltransferase 1 OS=Homo sapiens GN=COLGALT1 PE=1 SV=1;9.41e+004;2721.51
PG2IP_HUMAN;1 (1);25.16;0.18;3.95;123;PGAP2-interacting protein OS=Homo sapiens GN=CWH43 PE=2 SV=2;787.14;3111.63
MDFI_HUMAN;1 (1);20.25;0.18;3.89;123;MyoD family inhibitor OS=Homo sapiens GN=MDFI PE=1 SV=1;1472.16;378.04
CO1A1_HUMAN;78 (75);5525.47;0.18;3.72;123;Collagen alpha-1(I) chain OS=Homo sapiens GN=COL1A1 PE=1 SV=5;8.17e+005;3.04e+006
SYQ_HUMAN;1 (1);34.11;0.18;3.27;123;Glutamine--tRNA ligase OS=Homo sapiens GN=QARS PE=1 SV=1;753.70;2463.25
H2AJ_HUMAN;2 (2);157.35;0.18;2.60;123;Histone H2A.J OS=Homo sapiens GN=H2AFJ PE=1 SV=1;2.69e+005;1.03e+005
PEPD_HUMAN;3 (3);155.23;0.18;2.59;123;Xaa-Pro dipeptidase OS=Homo sapiens GN=PEPD PE=1 SV=3;1542.48;3989.45
KDM6A_HUMAN;1 (1);28.70;0.18;2.47;123;Lysine-specific demethylase 6A OS=Homo sapiens GN=KDM6A PE=1 SV=2;1.63e+004;6610.82
GRP78_HUMAN;19 (18);1205.98;0.18;2.40;123;78 kDa glucose-regulated protein OS=Homo sapiens GN=HSPA5 PE=1 SV=2;3.26e+004;7.82e+004
AFAM_HUMAN;3 (3);85.51;0.18;2.36;123;Afamin OS=Homo sapiens GN=AFM PE=1 SV=1;6834.61;2889.92
TIMP1_HUMAN;20 (20);1307.01;0.18;2.25;123;Metalloproteinase inhibitor 1 OS=Homo sapiens GN=TIMP1 PE=1 SV=1;2.15e+006;4.84e+006
HSP7C_HUMAN;21 (13);1274.44;0.18;2.23;123;Heat shock cognate 71 kDa protein OS=Homo sapiens GN=HSPA8 PE=1 SV=1;2.71e+004;6.05e+004
CBPM_HUMAN;6 (6);227.97;0.18;2.13;123;Carboxypeptidase M OS=Homo sapiens GN=CPM PE=1 SV=2;3392.01;7219.63
ENOA_HUMAN;32 (28);2418.61;0.18;2.09;123;Alpha-enolase OS=Homo sapiens GN=ENO1 PE=1 SV=2;2.62e+005;5.47e+005
A2AP_HUMAN;1 (1);49.29;0.18;2.05;123;Alpha-2-antiplasmin OS=Homo sapiens GN=SERPINF2 PE=1 SV=3;6.72e+004;3.29e+004
CBR1_HUMAN;9 (9);576.49;0.18;2.04;123;Carbonyl reductase [NADPH] 1 OS=Homo sapiens GN=CBR1 PE=1 SV=3;1.37e+004;2.80e+004
CUL5_HUMAN;1 (1);21.63;0.18;171.16;123;Cullin-5 OS=Homo sapiens GN=CUL5 PE=1 SV=4;15.90;2722.23
CLIC1_HUMAN;7 (7);287.62;0.18;1.83;123;Chloride intracellular channel protein 1 OS=Homo sapiens GN=CLIC1 PE=1 SV=4;1.49e+004;2.72e+004
AP2B1_HUMAN;12 (12);506.90;0.18;1.69;123;AP-2 complex subunit beta OS=Homo sapiens GN=AP2B1 PE=1 SV=1;4.09e+004;6.90e+004
LAMA4_HUMAN;27 (27);1405.17;0.18;1.61;123;Laminin subunit alpha-4 OS=Homo sapiens GN=LAMA4 PE=1 SV=4;7.60e+004;4.72e+004
COF1_HUMAN;13 (10);873.04;0.18;1.28;123;Cofilin-1 OS=Homo sapiens GN=CFL1 PE=1 SV=3;3.04e+005;3.88e+005
NEDD4_HUMAN;1 (1);18.50;0.17;86.79;123;E3 ubiquitin-protein ligase NEDD4 OS=Homo sapiens GN=NEDD4 PE=1 SV=4;1685.22;19.42
MCM10_HUMAN;1 (1);17.53;0.17;6.27;123;Protein MCM10 homolog OS=Homo sapiens GN=MCM10 PE=1 SV=2;1.33e+004;8.32e+004
MARCS_HUMAN;4 (4);219.67;0.17;5.51;123;Myristoylated alanine-rich C-kinase substrate OS=Homo sapiens GN=MARCKS PE=1 SV=4;5649.61;3.11e+004
TCPA_HUMAN;2 (2);68.24;0.17;4.52;123;T-complex protein 1 subunit alpha OS=Homo sapiens GN=TCP1 PE=1 SV=1;512.52;2314.50
AP2A1_HUMAN;4 (4);208.69;0.17;4.30;123;AP-2 complex subunit alpha-1 OS=Homo sapiens GN=AP2A1 PE=1 SV=3;5809.01;2.50e+004
MORC3_HUMAN;2 (2);46.69;0.17;3.68;123;MORC family CW-type zinc finger protein 3 OS=Homo sapiens GN=MORC3 PE=1 SV=3;6.18e+004;1.68e+004
CN166_HUMAN;4 (4);213.23;0.17;3.45;123;UPF0568 protein C14orf166 OS=Homo sapiens GN=C14orf166 PE=1 SV=1;2152.98;7436.86
ENAH_HUMAN;7 (7);227.41;0.17;3.05;123;Protein enabled homolog OS=Homo sapiens GN=ENAH PE=1 SV=2;9027.57;2.75e+004
PYGL_HUMAN;5 (1);266.62;0.17;2.89;123;Glycogen phosphorylase, liver form OS=Homo sapiens GN=PYGL PE=1 SV=4;1108.81;3208.00
G3BP1_HUMAN;2 (2);129.97;0.17;2.81;123;Ras GTPase-activating protein-binding protein 1 OS=Homo sapiens GN=G3BP1 PE=1 SV=1;6289.72;1.77e+004
CALU_HUMAN;14 (14);652.92;0.17;2.61;123;Calumenin OS=Homo sapiens GN=CALU PE=1 SV=2;2.77e+004;7.23e+004
CMBL_HUMAN;3 (3);58.58;0.17;2.58;123;Carboxymethylenebutenolidase homolog OS=Homo sapiens GN=CMBL PE=1 SV=1;5143.63;1.33e+004
NEUR1_HUMAN;4 (4);181.08;0.17;2.54;123;Sialidase-1 OS=Homo sapiens GN=NEU1 PE=1 SV=1;3504.22;8889.04
SCUB3_HUMAN;2 (2);42.97;0.17;2.51;123;Signal peptide, CUB and EGF-like domain-containing protein 3 OS=Homo sapiens GN=SCUBE3 PE=1 SV=1;2834.73;7104.69
